total_mentions,positive_mentions,negative_mentions,neutral_mentions,ticker,name,sentiment_score,from_date,to_date
37,25,3,9,BTC,Bitcoin,1.135,08142021,08142021
26,16,1,9,ADA,Cardano,1.212,08142021,08142021
19,13,0,6,ETH,Ethereum,1.342,08142021,08142021
16,11,0,5,DOGE,Dogecoin,1.344,08142021,08142021
8,5,1,2,XRP,Ripple,1.0,08142021,08142021
5,4,0,1,MATIC,Polygon,1.4,08142021,08142021
4,2,0,2,BNB,Binance Coin,1.25,08142021,08142021
4,3,0,1,LTC,Litecoin,1.375,08142021,08142021
3,1,0,2,DOT,Polkadot,1.167,08142021,08142021
3,3,0,0,SOL,Solana,1.5,08142021,08142021
3,2,0,1,LUNA,Terra,1.333,08142021,08142021
2,2,0,0,THETA,THETA,1.5,08142021,08142021
2,2,0,0,SHIB,SHIBA INU,1.5,08142021,08142021
2,1,1,0,LINK,Chainlink,0.0,08142021,08142021
2,0,0,2,UNI,Uniswap,1.0,08142021,08142021
1,1,0,0,WLUNA,Wrapped LUNA,1.5,08142021,08142021
1,1,0,0,TRU,TrustToken,1.5,08142021,08142021
1,1,0,0,REQ,Request,1.5,08142021,08142021
1,1,0,0,QUICK,QuickSwap,1.5,08142021,08142021
1,1,0,0,AXS,Axie Infinity,1.5,08142021,08142021
1,0,0,1,ERG,Ergo,1.0,08142021,08142021
1,0,0,1,CEL,Celsius,1.0,08142021,08142021
1,0,0,1,HZN,Horizon Protocol,1.0,08142021,08142021
1,1,0,0,CRO,Crypto.com Coin,1.5,08142021,08142021
1,1,0,0,USDC,USD Coin,1.5,08142021,08142021
1,1,0,0,BAND,Band Protocol,1.5,08142021,08142021
1,1,0,0,DENT,Dent,1.5,08142021,08142021
1,0,1,0,USDT,Tether,-1.5,08142021,08142021
1,0,0,1,WOO,Wootrade,1.0,08142021,08142021
1,0,0,1,RVN,Ravencoin,1.0,08142021,08142021
1,0,0,1,ATOM,Cosmos,1.0,08142021,08142021
1,0,0,1,IOTX,IoTeX,1.0,08142021,08142021
1,1,0,0,MMM,MultiMillion,1.5,08142021,08142021
1,0,0,1,BNT,Bancor,1.0,08142021,08142021
1,1,0,0,FUN,FUN Token,1.5,08142021,08142021
