total_mentions,positive_mentions,negative_mentions,neutral_mentions,ticker,name,sentiment_score,from_date,to_date
70,35,14,21,BTC,Bitcoin,0.75,08162021,08162021
57,29,5,23,ETH,Ethereum,1.035,08162021,08162021
40,28,1,11,DOGE,Dogecoin,1.288,08162021,08162021
32,31,0,1,SOL,Solana,1.484,08162021,08162021
22,8,7,7,ADA,Cardano,0.386,08162021,08162021
12,8,0,4,XRP,Ripple,1.333,08162021,08162021
6,3,0,3,BNB,Binance Coin,1.25,08162021,08162021
6,3,1,2,MATIC,Polygon,0.833,08162021,08162021
5,4,0,1,LINK,Chainlink,1.4,08162021,08162021
4,2,0,2,DOT,Polkadot,1.25,08162021,08162021
4,0,0,4,SHIB,SHIBA INU,1.0,08162021,08162021
4,1,0,3,BCH,Bitcoin Cash,1.125,08162021,08162021
4,4,0,0,AXS,Axie Infinity,1.5,08162021,08162021
4,3,0,1,AUDIO,Audius,1.375,08162021,08162021
3,0,2,1,XMR,Monero,-0.667,08162021,08162021
3,2,0,1,KSM,Kusama,1.333,08162021,08162021
3,2,0,1,LTC,Litecoin,1.333,08162021,08162021
3,3,0,0,LUNA,Terra,1.5,08162021,08162021
3,0,1,2,UNI,Uniswap,0.167,08162021,08162021
2,1,0,1,SUSHI,SushiSwap,1.25,08162021,08162021
2,0,1,1,TVK,Terra Virtua,-0.25,08162021,08162021
2,1,0,1,USDT,Tether,1.25,08162021,08162021
2,1,0,1,VET,VeChain,1.25,08162021,08162021
2,1,0,1,XLM,Stellar Lumens,1.25,08162021,08162021
2,0,0,2,ETC,Ethereum Classic,1.0,08162021,08162021
2,2,0,0,ZEC,Zcash,1.5,08162021,08162021
1,0,0,1,SNX,Synthetix,1.0,08162021,08162021
1,0,0,1,ALGO,Algorand,1.0,08162021,08162021
1,0,0,1,FLR,Flare Network,1.0,08162021,08162021
1,0,0,1,NEO,Neo,1.0,08162021,08162021
1,1,0,0,THETA,THETA,1.5,08162021,08162021
1,1,0,0,MMM,MultiMillion,1.5,08162021,08162021
1,0,1,0,MANA,Decentraland,-1.5,08162021,08162021
1,0,0,1,HZN,Horizon Protocol,1.0,08162021,08162021
1,1,0,0,AAVE,Aave,1.5,08162021,08162021
1,1,0,0,DASH,Dash,1.5,08162021,08162021
1,0,1,0,SAFEMOON,SafeMoon,-1.5,08162021,08162021
1,0,0,1,WAVES,Waves,1.0,08162021,08162021
1,1,0,0,SRM,Serum,1.5,08162021,08162021
1,1,0,0,RHO,Rhinos Finance,1.5,08162021,08162021
1,1,0,0,STEP,Step Finance,1.5,08162021,08162021
1,0,0,1,RVN,Ravencoin,1.0,08162021,08162021
1,1,0,0,BABYDOGE,Baby Doge Coin,1.5,08162021,08162021
1,1,0,0,ATOM,Cosmos,1.5,08162021,08162021
1,1,0,0,PRE,Presearch,1.5,08162021,08162021
1,1,0,0,AR,Arweave,1.5,08162021,08162021
1,0,0,1,BAL,Balancer,1.0,08162021,08162021
1,1,0,0,ITAM,ITAM Games,1.5,08162021,08162021
1,0,0,1,AVAX,Avalanche,1.0,08162021,08162021
1,0,0,1,CAKE,PancakeSwap,1.0,08162021,08162021
