,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T20:59:02.000Z,-0.86212607,-1.87657911,6.19430207,46.95822715,16.70980541,5.60469053,2021-08-14 20:59:02+00:00
1,Litecoin,LTC,litecoin,710,1,14,2021-08-14T20:59:02.000Z,-1.51263859,-1.29686088,15.69640499,42.66534382,3.20168703,-36.95943138,2021-08-14 20:59:02+00:00
2,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T20:59:03.000Z,-1.45077613,2.45062053,17.63465686,52.76330359,-10.18226493,-41.64549674,2021-08-14 20:59:03+00:00
3,Monero,XMR,monero,161,1,29,2021-08-14T20:59:04.000Z,-1.27749755,-0.0698631,0.01341546,36.92509937,-3.91595599,-28.54408488,2021-08-14 20:59:04+00:00
4,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T20:59:02.000Z,-0.97729454,-1.42187556,4.89043362,67.7793015,28.03727862,-4.06363763,2021-08-14 20:59:02+00:00
5,Cardano,ADA,cardano,287,1,3,2021-08-14T20:58:08.000Z,-1.61737387,6.13958563,49.65267286,76.37279397,40.23917956,6.24433349,2021-08-14 20:58:08+00:00
6,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-14T21:04:02.000Z,-0.41478554,-2.07139017,5.72681294,47.04474143,16.89738944,4.61887062,2021-08-14 21:04:02+00:00
7,Litecoin,LTC,litecoin,710,1,14,2021-08-14T21:04:02.000Z,-0.928145,-1.21014583,15.44694766,42.61368752,3.20369381,-37.36485705,2021-08-14 21:04:02+00:00
8,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-14T21:04:03.000Z,-0.54849674,2.05086335,17.74272096,52.66507743,-10.01569112,-41.64426918,2021-08-14 21:04:03+00:00
9,Monero,XMR,monero,161,1,29,2021-08-14T21:04:04.000Z,-0.78879845,-0.12721413,0.08505307,36.70307584,-3.68541179,-28.97515342,2021-08-14 21:04:04+00:00
10,Ethereum,ETH,ethereum,5593,1,2,2021-08-14T21:04:02.000Z,-0.52544506,-1.35780559,4.4695601,67.99576228,27.95557377,-4.57803341,2021-08-14 21:04:02+00:00
