,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8911,1,1,2021-08-13T20:57:02.000Z,2.40165936,7.28723337,11.41177813,44.84941575,19.41642592,-1.29026574,2021-08-13 20:57:02+00:00
1,Litecoin,LTC,litecoin,710,1,13,2021-08-13T20:57:02.000Z,2.91968203,9.59078552,21.80230294,37.65692782,4.22618327,-41.41207947,2021-08-13 20:57:02+00:00
2,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-13T20:57:03.000Z,2.2439742,6.80892526,35.59332491,42.11548244,-13.36059783,-45.39199731,2021-08-13 20:57:03+00:00
3,Monero,XMR,monero,161,1,28,2021-08-13T20:57:04.000Z,1.2544546,4.42273448,3.61046871,34.09355079,-0.84689953,-31.87323735,2021-08-13 20:57:04+00:00
4,Ethereum,ETH,ethereum,5602,1,2,2021-08-13T20:57:02.000Z,1.66906445,7.3148474,12.5519441,64.48307884,28.72642961,-13.43319511,2021-08-13 20:57:02+00:00
5,Cardano,ADA,cardano,286,1,4,2021-08-13T20:56:07.000Z,3.05327767,17.16716164,45.41540689,61.28267672,32.16770151,-10.87358387,2021-08-13 20:56:07+00:00
6,Bitcoin,BTC,bitcoin,8911,1,1,2021-08-13T21:03:02.000Z,2.38984008,7.43034965,11.5802205,45.06482101,18.57014768,-1.64383618,2021-08-13 21:03:02+00:00
7,Litecoin,LTC,litecoin,710,1,14,2021-08-13T21:03:02.000Z,2.73445624,9.82054219,22.06438903,37.90015417,3.63948754,-41.70555344,2021-08-13 21:03:02+00:00
8,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-13T21:03:03.000Z,2.12461761,7.20863571,35.96647838,42.16827848,-13.71270913,-45.57158365,2021-08-13 21:03:03+00:00
9,Monero,XMR,monero,161,1,28,2021-08-13T21:03:04.000Z,1.28392598,4.5871721,3.46477446,33.86361595,-1.41578475,-32.30493201,2021-08-13 21:03:04+00:00
10,Ethereum,ETH,ethereum,5602,1,2,2021-08-13T21:03:02.000Z,1.67376189,7.43503083,12.59845022,64.56923692,28.26855095,-13.92576566,2021-08-13 21:03:02+00:00
11,Cardano,ADA,cardano,286,1,4,2021-08-13T21:02:07.000Z,2.66685059,15.66293486,45.44424041,61.01797183,31.75370323,-10.79471196,2021-08-13 21:02:07+00:00
12,Bitcoin,BTC,bitcoin,8911,1,1,2021-08-13T21:07:02.000Z,0.80193947,7.49732007,11.76935179,45.09267304,18.26560804,-1.54403814,2021-08-13 21:07:02+00:00
13,Litecoin,LTC,litecoin,710,1,13,2021-08-13T21:07:02.000Z,1.32226603,9.963564,22.14332186,37.94557363,3.44489494,-41.5058082,2021-08-13 21:07:02+00:00
