total_mentions,positive_mentions,negative_mentions,neutral_mentions,ticker,name,sentiment_score,from_date,to_date
35,19,1,15,BTC,Bitcoin,1.2,08152021,08152021
21,16,0,5,DOGE,Dogecoin,1.381,08152021,08152021
19,7,2,10,ETH,Ethereum,0.921,08152021,08152021
13,11,0,2,XRP,Ripple,1.423,08152021,08152021
10,8,0,2,ADA,Cardano,1.4,08152021,08152021
5,2,0,3,MATIC,Polygon,1.2,08152021,08152021
5,5,0,0,SOL,Solana,1.5,08152021,08152021
4,0,1,3,LINK,Chainlink,0.375,08152021,08152021
4,3,0,1,LUNA,Terra,1.375,08152021,08152021
3,3,0,0,ETC,Ethereum Classic,1.5,08152021,08152021
3,0,1,2,LTC,Litecoin,0.167,08152021,08152021
3,2,0,1,VET,VeChain,1.333,08152021,08152021
3,3,0,0,SUSHI,SushiSwap,1.5,08152021,08152021
2,2,0,0,QUICK,QuickSwap,1.5,08152021,08152021
2,1,1,0,BNB,Binance Coin,0.0,08152021,08152021
2,0,0,2,DOT,Polkadot,1.0,08152021,08152021
2,1,0,1,UNI,Uniswap,1.25,08152021,08152021
2,1,0,1,AAVE,Aave,1.25,08152021,08152021
1,0,0,1,ATOM,Cosmos,1.0,08152021,08152021
1,1,0,0,PUNK,CryptoPunks,1.5,08152021,08152021
1,0,0,1,BSC,BowsCoin,1.0,08152021,08152021
1,1,0,0,CUMMIES,CumRocket,1.5,08152021,08152021
1,1,0,0,GTC,Gitcoin,1.5,08152021,08152021
1,1,0,0,BCH,Bitcoin Cash,1.5,08152021,08152021
1,1,0,0,XLM,Stellar Lumens,1.5,08152021,08152021
1,0,0,1,SC,Siacoin,1.0,08152021,08152021
1,0,0,1,FIL,Filecoin,1.0,08152021,08152021
1,0,0,1,XMR,Monero,1.0,08152021,08152021
1,1,0,0,KLAY,Klaytn,1.5,08152021,08152021
1,1,0,0,AXS,Axie Infinity,1.5,08152021,08152021
1,1,0,0,REQ,Request,1.5,08152021,08152021
1,0,0,1,XTZ,Tezos,1.0,08152021,08152021
1,0,0,1,FTM,Fantom,1.0,08152021,08152021
1,0,0,1,AVAX,Avalanche,1.0,08152021,08152021
1,1,0,0,ZIL,Zilliqa,1.5,08152021,08152021
1,1,0,0,FLR,Flare Network,1.5,08152021,08152021
1,0,0,1,COMP,Compound,1.0,08152021,08152021
1,1,0,0,TRX,TRON,1.5,08152021,08152021
1,1,0,0,HBAR,Hedera Hashgraph,1.5,08152021,08152021
1,0,0,1,WOO,Wootrade,1.0,08152021,08152021
1,0,0,1,RVN,Ravencoin,1.0,08152021,08152021
