total_mentions,positive_mentions,negative_mentions,neutral_mentions,ticker,name,sentiment_score,from_date,to_date
80,37,17,26,BTC,Bitcoin,0.7,08172021,08172021
44,21,10,13,ETH,Ethereum,0.67,08172021,08172021
25,17,1,7,DOGE,Dogecoin,1.24,08172021,08172021
21,14,0,7,SOL,Solana,1.333,08172021,08172021
19,11,3,5,ADA,Cardano,0.895,08172021,08172021
14,4,6,4,XRP,Ripple,0.071,08172021,08172021
7,6,0,1,AUDIO,Audius,1.429,08172021,08172021
5,5,0,0,1INCH,1inch,1.5,08172021,08172021
4,3,1,0,SHIB,SHIBA INU,0.75,08172021,08172021
4,0,4,0,XMR,Monero,-1.5,08172021,08172021
4,3,1,0,ETC,Ethereum Classic,0.75,08172021,08172021
4,4,0,0,AXS,Axie Infinity,1.5,08172021,08172021
3,0,0,3,SUSHI,SushiSwap,1.0,08172021,08172021
3,3,0,0,BNB,Binance Coin,1.5,08172021,08172021
3,1,0,2,ZEC,Zcash,1.167,08172021,08172021
3,0,2,1,XLM,Stellar Lumens,-0.667,08172021,08172021
3,3,0,0,MATIC,Polygon,1.5,08172021,08172021
2,1,1,0,EOS,EOS,0.0,08172021,08172021
2,1,0,1,DOT,Polkadot,1.25,08172021,08172021
2,0,2,0,SAFEMOON,SafeMoon,-1.5,08172021,08172021
2,1,0,1,BCH,Bitcoin Cash,1.25,08172021,08172021
2,1,1,0,LTC,Litecoin,0.0,08172021,08172021
1,0,0,1,UST,TerraUSD,1.0,08172021,08172021
1,1,0,0,YGG,Yield Guild Games,1.5,08172021,08172021
1,0,0,1,SNX,Synthetix,1.0,08172021,08172021
1,1,0,0,REQ,Request,1.5,08172021,08172021
1,0,0,1,PAXG,PAX Gold,1.0,08172021,08172021
1,1,0,0,IOTX,IoTeX,1.5,08172021,08172021
1,0,0,1,USDT,Tether,1.0,08172021,08172021
1,1,0,0,DENT,Dent,1.5,08172021,08172021
1,0,0,1,ERG,Ergo,1.0,08172021,08172021
1,0,0,1,LUNA,Terra,1.0,08172021,08172021
1,1,0,0,ICP,Internet Computer,1.5,08172021,08172021
1,1,0,0,EKARTINU,Ekart Inu,1.5,08172021,08172021
1,0,0,1,HNT,Helium,1.0,08172021,08172021
1,0,0,1,RAY,Raydium,1.0,08172021,08172021
1,0,0,1,TRX,TRON,1.0,08172021,08172021
1,0,0,1,TMCN,Time Coin Protocol,1.0,08172021,08172021
1,1,0,0,XTZ,Tezos,1.5,08172021,08172021
1,1,0,0,UNI,Uniswap,1.5,08172021,08172021
1,0,1,0,BTT,BitTorrent,-1.5,08172021,08172021
1,0,1,0,BTG,Bitcoin Gold,-1.5,08172021,08172021
1,1,0,0,SC,Siacoin,1.5,08172021,08172021
1,0,1,0,VET,VeChain,-1.5,08172021,08172021
1,1,0,0,DASH,Dash,1.5,08172021,08172021
1,1,0,0,EGLD,Elrond,1.5,08172021,08172021
1,0,0,1,BSC,BowsCoin,1.0,08172021,08172021
1,1,0,0,CAKE,PancakeSwap,1.5,08172021,08172021
1,0,0,1,NOM,Onomy Protocol,1.0,08172021,08172021
1,1,0,0,CEL,Celsius,1.5,08172021,08172021
