id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
1,Bitcoin,BTC,bitcoin,8919,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18790118.0,18790118.0,1,,1,0,2021-08-18T20:59:02.000Z,44588.4020061755,32767722059.3716,-0.7016297,-0.88006871,-3.8342908,44.87723202,23.13754125,11.34138792,837821335127.4744,44.0516,936356442129.69,2021-08-18T20:59:02.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,16,0,2021-08-18T20:59:02.000Z,165.33487245038864,2002632143.893118,-1.61007085,-4.47637007,-5.16224167,45.12352527,5.5205942,-20.4818992,11036535006.631548,0.5803,13888129285.83,2021-08-18T20:59:02.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130909449761.47276,130909449761.47276,1,,7,0,2021-08-18T20:59:03.000Z,0.29571966061775,6431288371.194823,-2.17511855,-4.1701058,6.06954235,70.07986536,1.47592289,-25.90769287,38712498055.11912,2.035,38712498055.12,2021-08-18T20:59:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17975742.19161317,17975742.19161317,1,,30,0,2021-08-18T20:59:04.000Z,249.8004717461272,212344216.7856325,-1.58464546,-4.19942612,-9.44469074,32.317224,-11.53588819,-7.17543771,4490348879.451733,0.236,4490348879.45,2021-08-18T20:59:04.000Z
1027,Ethereum,ETH,ethereum,5583,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117160016.999,117160016.999,1,,2,0,2021-08-18T20:59:02.000Z,3008.920617906599,23275440743.84156,-0.78433732,-2.01350422,-7.13071447,65.31670654,34.85027292,8.9202636,352525190742.57874,18.5308,352525190742.58,2021-08-18T20:59:02.000Z
2010,Cardano,ADA,cardano,295,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32127744499.597,33005080086.445,1,,3,0,2021-08-18T20:59:09.000Z,2.04736569751587,4765355324.730387,-1.25827974,1.71072205,10.63641125,82.06143889,44.56198214,13.46236204,65777242027.02907,3.4576,92131456388.21,2021-08-18T20:59:09.000Z
1,Bitcoin,BTC,bitcoin,8919,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18790118.0,18790118.0,1,,1,0,2021-08-18T21:04:02.000Z,44622.1096484442,32710724182.998974,-0.42993021,-0.82070269,-3.315457,44.90133757,23.48800728,11.62691883,838454705703.205,44.1462,937064302617.33,2021-08-18T21:04:02.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,16,0,2021-08-18T21:04:02.000Z,165.64452529207298,1996130368.377785,-1.20239563,-4.03050625,-4.14895911,45.05108279,5.86905003,-20.34335697,11057205143.406096,0.5822,13914140124.53,2021-08-18T21:04:02.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130909449761.47276,130909449761.47276,1,,7,0,2021-08-18T21:04:03.000Z,0.29704229054428,6431702025.541982,-1.30929177,-3.30770484,7.44370706,70.20962795,1.87593471,-25.56102262,38885642811.039215,2.0446,38885642811.04,2021-08-18T21:04:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17975742.19161317,17975742.19161317,1,,30,0,2021-08-18T21:04:04.000Z,250.90225715236045,212096666.37939847,-1.05540996,-3.33388053,-8.10761337,32.65106041,-10.94750744,-8.02462559,4510154289.864663,0.2371,4510154289.86,2021-08-18T21:04:04.000Z
